,lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
360, Landmark Center,"445 Park Dr Boston, MA 02215, US ",10 Min:  Free; 30 Min:  $5; 1 Hour:  $7; 1.5 Hours:  $10; 2 Hours:  $12; 2.5 Hours:  $15; 18 Hours:  $28; 30 Min: With Validation $2; 1 Hour: With Validation $3; 1.5 Hours: With Validation $6; 2 Hours: With Validation $9; 2.5 Hours: With Validation $13; 18 Hours: With Validation $24; Event: 18 Hours $50-$55; ,Monthly:  $145-$385,$7.00,https://www.parkme.com/lot/80426/landmark-center-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
361, Greenhouse Apartments,"2 Cumberland St Boston, MA 02115, US ",1 Hour:  $8; 3 Hours:  $15; 10 Hours:  $22; 24 Hours:  $26; ,Monthly:  $260,$8.00,https://www.parkme.com/lot/52855/greenhouse-apartments-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
362, Brigham and Women's Hospital,"75 Francis St Boston, MA 02115, US ",1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $11; 4 Hours:  $13; 5 Hours:  $14; 6 Hours:  $16; 7 Hours:  $18; 24 Hours:  $22; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/80484
363, 86-96 Avenue Louis Pasteur Garage,"86-96 Avenue Louis Pasteur Boston, MA 02115, US ",2 Hours: Mon-Fri; With Validation $2.70; 4 Hours: Mon-Fri; With Validation $10.65; 5 Hours: Mon-Fri; With Validation $14.35; Max: Mon-Fri; With Validation $19.15; 2 Hours: Sat-Sun; With Validation $7.05; 4 Hours: Sat-Sun; With Validation $8.65; Max: Sat-Sun; With Validation $14.35; 1 Hour:  $8; 2 Hours:  $12; 3 Hours:  $17; 4 Hours:  $22; 5 Hours:  $27; Daily Max:  $30; Early Bird: In Between 5am-7am / Out By 6pm $28; ,Monthly:  $300,$8.00,https://www.parkme.com/lot/213618/86-96-avenue-louis-pasteur?entry-date=2022-01-24T13:33&duration=60
364, 500 Harrison Ave Parking,"500 Harrison Ave Boston, MA 02118, US ",2 Hours:  $9; Each Add'l Hour:  $3; Daily Max:  $24; ,Monthly:  $300-$350,$9.00,https://www.parkme.com/lot/80413
365, Brigham and Women's Hospital,"75 Francis St Boston, MA 02115, US ",1 Hour:  $9; 2 Hours:  $11; 3 Hours:  $12; 4 Hours:  $14; 5 Hours:  $15; 6 Hours:  $16; 7 Hours:  $18; 24 Hours:  $22; ,Mon-Sun:  24 Hours,$9.00,https://www.parkme.com/lot/197395
366, 33 Essex St Parking,"33 Essex St Boston, MA 02111, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $30; Mon-Sat: 6pm-6am $22; Sun: 6pm-6am Free; Event:  $22; ,Mon-Fri:  6am-2am,$10.00,https://www.parkme.com/lot/15268
367, 690 Huntington Ave Parking,"690 Huntington Ave Boston, MA 02115, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $25; Overnight: 6pm-6am $25; Event:  $20; ,Mon-Fri:  6am-6pm,$10.00,https://www.parkme.com/lot/15296/690-huntington-ave?entry-date=2022-01-24T13:33&duration=60
368, 47 Lagrange St Parking,"47 Lagrange St Boston, MA 02116, US ",30 Min:  $5; 1 Hour:  $10; 1.5 Hours:  $15; 2 Hours:  $20; Daily Max:  $25; Early Bird: Mon-Fri; In By 9am / Out By 7pm $17; Evening: Mon-Fri; 4pm-6am $25; Sat-Sun:  $25; Oversize:  $30; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/24171
369, Queensberry Street Garage,"59 Queensberry St Boston, MA 02215, US ",1 Hour:  $10; 3 Hours:  $15; Max: In By 5pm $15; Daily Max:  $20; Event:  $60; ,Monthly:  $350,$10.00,https://www.parkme.com/lot/26179
370, Deaconess Garage,"60 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $10; 5 Hours:  $15; Max: In By 5pm $40; 24 Hours:  $20; Event:  $60; ,Monthly:  $350,$10.00,https://www.parkme.com/lot/26180
371, The Metropolitan,"28 Ash St Boston, MA 02111, US ",1 Hour:  $10; 2 Hours:  $15; 14 Hours:  $23; 24 Hours:  $32; 12 Hours: Sat-Sun $12; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/32124
372, Boston Common,"16 Charles St Boston, MA 02108, US ",1 Hour: Mon-Fri; In Between 6am-4pm $10; 2 Hours: Mon-Fri; In Between 6am-4pm $18; 3 Hours: Mon-Fri; In Between 6am-4pm $24; 10 Hours: Mon-Fri; In Between 6am-4pm $28; 24 Hours: Mon-Fri; In Between 6am-4pm $32; 1 Hour: Mon-Fri; In Between 4pm-6am / Out By 8am $10; 3 Hours: Mon-Fri; In Between 4pm-6am / Out By 8am $14; Max: Mon-Fri; In Between 4pm-6am / Out By 8am $18; 1 Hour: Sat-Sun $10; 3 Hours: Sat-Sun $14; Max: Sat-Sun $18; Max: With Validation $16; ,Monthly:  $150-$400,$10.00,https://www.parkme.com/lot/32172
373, Galleria Garage,"350 Longwood Ave Boston, MA 02115, US ",1 Hour:  $10; 2 Hours:  $13; 3 Hours:  $16; 4 Hours:  $18; 5 Hours:  $26; 6 Hours:  $32; 8 Hours:  $36; 10 Hours:  $38; 24 Hours:  $40; Max: With Validation $25; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/80491/galleria-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
374, Dartmouth Street Garage,"126 Dartmouth St Boston, MA 02116, US ",1 Hour:  $11; 2 Hours:  $20; 10 Hours:  $34; 24 Hours:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out Between 1pm-8pm $20; Evening: Mon-Fri; In After 5pm / Out By 8am $10; ,Mon-Sun:  24 Hours,$11.00,https://www.parkme.com/lot/15306/dartmouth-street-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
375, 131 Dartmouth St Garage,"131 Dartmouth St Boston, MA 02116, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $32; 10 Hours:  $34; 24 Hours:  $38; Early Bird: Mon-Fri; In Between 5am-9am / Out By 8pm $20; Evening: 5pm-8am $10; ,Monthly:  $150-$425,$11.00,https://www.parkme.com/lot/52756/131-dartmouth-st?entry-date=2022-01-24T13:33&duration=60
376, Christian Science Plaza,"235 Huntington Ave Boston, MA 02115, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $30; 12 Hours:  $34; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $25; Evening: Mon-Fri; In After 5pm / Out By 8am $15; Event:  $25; 12 Hours: Sat-Sun $20; ,Monthly:  $390-$450,$11.00,https://www.parkme.com/lot/168561/christian-science-plaza-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
377, Tufts Medical Center,"Nassau St Boston, MA 02111, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $26; 7 Hours:  $29; 24 Hours:  $36; 2.5 Hours: With Validation $9; 5.5 Hours: With Validation $11; 6.5 Hours: With Validation $12; 7.5 Hours: With Validation $16; 24 Hours: With Validation $21; ,Mon-Fri:  5:45am-6pm,$11.00,https://www.parkme.com/lot/197421
378, Fenway,"16 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $12; 90 Min:  $14; 2 Hours:  $20; 150 Min:  $24; 3 Hours:  $32; Daily Max:  $38; Evening: Mon-Fri; In After 4pm / Out By 8am $10; Sat-Sun:  $10; Event:  $55; ,Monthly:  $405,$12.00,https://www.parkme.com/lot/15290/fenway-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
379, Copley Place Parking,"100 Huntington Ave Boston, MA 02116, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 5 Hours:  $38; 10 Hours:  $40; 24 Hours:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out Between 1pm-8pm $25; 3 Hours: In After 5pm / Out By 2am; With Validation $12; Event: In After 4pm $17; ,Monthly:  $450,$12.00,https://www.parkme.com/lot/15300/copley-place-parking-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
381, The Westland Avenue Garage,"35 Westland Ave Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 1.5 Hours:  $18; 10 Hours:  $30; 12 Hours:  $33; 14 Hours:  $35; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out By 6pm $25; Event: 10 Hours $30; ,Monthly:  $345,$12.00,https://www.parkme.com/lot/26840/the-westland-avenue-garage-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
382, 1330 Boylston St Garage,"75 Jersey St Boston, MA 02215, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $32; Daily Max:  $36; Mon-Fri: In After 4pm; 6 Hour Max $10; Mon-Fri: In After 4pm / Out By 8am $15; 6 Hours: Sat-Sun $10; Sat-Sun: Out By 8am $15; ,Monthly:  $375,$12.00,https://www.parkme.com/lot/52849/1330-boylston-st?entry-date=2022-01-24T13:33&duration=60
383, CityPlace Garage,"40 Charles St S Boston, MA 02116, US ",1 Hour: Mon-Fri; In Between 5am-5pm $12; 2 Hours: Mon-Fri; In Between 5am-5pm $16; 3 Hours: Mon-Fri; In Between 5am-5pm $20; 12 Hours:  $23; 24 Hours:  $33; 1 Hour: Sat-Sun; In Between 5am-5pm $12; ,Mon-Sun:  24 Hours,$12.00,https://www.parkme.com/lot/52976/cityplace-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
384, 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,$12.00,https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60
385, The Viridian,"1282 Boylston St Boston, MA 02215, US ",30 Min:  $8; 1 Hour:  $12; 2 Hours:  $20; 5 Hours:  $30; 24 Hours:  $34; Evening: Mon-Fri; In After 4pm / Out By 4am $10; Sat-Sun:  $10; ,Mon-Sun:  24 Hours,$12.00,https://www.parkme.com/lot/80429/the-viridian-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
386, 840 Harrison Ave Parking,"Boston Medical Center Pl Boston, MA 02118, US ",Daily Max:  $12; ,,$12.00,https://www.parkme.com/lot/80479
387, The Harlo Parking,"33 Kilmarnock St Boston, MA 02215, US ",30 Min:  $7; 1 Hour:  $12; 2 Hours:  $20; 3 Hours:  $30; 24 Hours:  $35; Evening: Mon-Fri; In After 4pm / Out By 8am $10; 12 Hours: Sat-Sun $10; ,Monthly:  $375,$12.00,https://www.parkme.com/lot/115651/the-harlo-parking-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
389, 660 Washington St Garage,"660 Washington St Boston, MA 02111, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $21; 2 Hours:  $23; 12 Hours:  $27; 24 Hours:  $31; Early Bird: Mon-Fri; In Between 5am-9am / Out By 7pm $19; Evening: Mon-Fri; 6pm-5am $17; 12 Hours: Sat-Sun; Out By 5am $17; Sat-Sun:  $20; ,Monthly:  $335-$395,$13.00,https://www.parkme.com/lot/15258/660-washington-st?entry-date=2022-01-24T13:33&duration=60
390, Tufts Medical Center,"274 Tremont St Boston, MA 02116, US ",10 Min:  Free; 1 Hour:  $13; 2 Hours:  $22; 3 Hours:  $28; 7 Hours:  $32; Daily Max:  $40; 30 Min: With Validation Free; 2.5 Hours: With Validation $11; 5.5 Hours: With Validation $13; 7.5 Hours: With Validation $18; Max: With Validation $25; ,Mon-Sun:  24 Hours,$13.00,https://www.parkme.com/lot/26160
391, Prudential Center Garage,"79 Exeter St Boston, MA 02116, US ",1 Hour:  $13; 1.5 Hours:  $22; 2 Hours:  $32; 24 Hours:  $44; 4 Hours: With Validation; In After 9:30am $15; 5 Hours: With Validation; In After 9:30am $20; Max: In After 5pm / Out By 3am; With Validation $15; Event:  $18; ,Monthly:  $135-$510,$13.00,https://www.parkme.com/lot/32173/prudential-center-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
392, Atelier 505,"14 Warren Ave Boston, MA 02116, US ",1 Hour:  $13; 2 Hours:  $21; 10 Hours:  $26; 24 Hours:  $33; Early Bird: Mon-Fri; In Between 5am-9:30am / Out By 7pm $16; Evening: Mon-Wed; In After 6pm / Out By 3am $16; Evening: Thu-Fri; In After 6pm / Out By 3am $21; 1 Hour: Sun; In After 4am / Out By 12am $13; Max: Sun; In After 4am / Out By 12am $22; ,Monthly:  $315-$425,$13.00,https://www.parkme.com/lot/52945/atelier-505-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
393, The Carl J. Shapiro Clinical Center,"98 Binney St Boston, MA 02115, US ",1 Hour:  $13; 4 Hours:  $25; 6 Hours:  $35; 24 Hours:  $45; ,Mon-Fri:  5am-11pm,$13.00,https://www.parkme.com/lot/1203476
394, Motor Mart Garage,"201 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $20; 10 Hours:  $30; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-10am; 12 Hours $24; 1 Hour: Mon-Fri; In After 3pm $10; 2 Hours: Mon-Fri; In After 3pm $18; 10 Hours: Mon-Fri; In After 3pm $25; 24 Hours: Mon-Fri; In After 3pm $40; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $18; 10 Hours: Sat-Sun $25; 24 Hours: Sat-Sun $40; 3 Hours: In After 5pm; With Validation $10; ,Monthly:  $173-$525,$14.00,https://www.parkme.com/lot/26170/motor-mart-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
395, Revere,"200 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $22; 5 Hours:  $32; 10 Hours:  $36; 24 Hours:  $42; 3 Hours: In After 3pm; With Validation $10; ,Monthly:  $173-$525,$14.00,https://www.parkme.com/lot/32158/revere-boston-ma?entry-date=2022-01-24T13:33&duration=60
396, 200 Newbury Street,"109-127 Arlington St Boston, MA 02116, US ",30 Min:  $7; 1 Hour:  $14; 10 Hours:  $21; 24 Hours:  $38; Evening: In After 5pm; 10 Hours $15; 10 Hours: Sat-Sun $15; ,Monthly:  $350,$14.00,https://www.parkme.com/lot/80332/200-newbury-street-boston-ma?entry-date=2022-01-24T13:33&duration=60
397, 277 Northampton St Garage,"277 Northampton St Boston, MA 02118, US ",Max: 6am-6pm $15; Evening: In After 6pm $15; Event:  $15; ,Monthly:  $300,$15.00,https://www.parkme.com/lot/15328/277-northampton-st?entry-date=2022-01-24T13:33&duration=60
398, AVA Theater District,"45 Stuart St Boston, MA 02116, US ",4 Hours:  $15; 8 Hours:  $18; 12 Hours:  $34; 24 Hours:  $43; ,Monthly:  $385,$15.00,https://www.parkme.com/lot/32163/ava-theater-district-boston-ma?entry-date=2022-01-24T13:33&duration=60
400, St James at Arlington,"10 St James Ave Boston, MA 02116, US ",1 Hour:  $15; 2 Hours:  $30; Daily Max:  $38; 1 Hour: Mon-Fri; In After 5pm $15; Max: Mon-Fri; In After 5pm $30; Max: Sat-Sun $38; ,Monthly:  $470-$675,$15.00,https://www.parkme.com/lot/80423/st-james-at-arlington-boston-ma?entry-date=2022-01-24T13:33&duration=60
401, 120 Brookline Ave Garage,"51 Van Ness St Boston, MA 02215, US ",Daily Max:  $15; Event:  $50; ,Mon-Fri:  7am-7pm,$15.00,https://www.parkme.com/lot/115650/120-brookline-ave?entry-date=2022-01-24T13:33&duration=60
402, 101 Kilmarnock St Parking,"101 Kilmarnock St Boston, MA 02215, US ",Max: 6am-6pm $15; Max: 6pm-6am $15; Event:  $35-$45; ,Mon-Sun:  5am-12am,$15.00,https://www.parkme.com/lot/197399
403, 400 Stuart St Garage,"400 Stuart St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $14; 2 Hours:  $24; 3 Hours:  $32; 6 Hours:  $36; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out Between 2pm-7pm $20; Evening: Mon-Fri; In After 4pm / Out By 8am $12; Sat-Sun: 12 Hours $14; Tax Not Included:  10.0%; ,Monthly:  $435,$15.40,https://www.parkme.com/lot/26828/400-stuart-st?entry-date=2022-01-24T13:33&duration=60
404, Hynes Auditorium,"50 Dalton St Boston, MA 02115, US ",30 Min:  $9; 1 Hour:  $16; 1.5 Hours:  $21; 2 Hours:  $26; 2.5 Hours:  $31; 12 Hours:  $35; 24 Hours:  $39; Early Bird: In By 9am / Out By 6pm $25; 30 Min: In After 4pm / Out By 6am $9; 1 Hour: In After 4pm / Out By 6am $16; Max: In After 4pm / Out By 6am $19; Event: Sat-Sun; Out By 3am $19; ,Monthly:  $400,$16.00,https://www.parkme.com/lot/15294/hynes-auditorium-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
405, Ritz Carlton Boston Common,"47 Boylston St Boston, MA 02116, US ",30 Min: Mon-Fri; 5am-4:59pm $8; 1 Hour: Mon-Fri; 5am-4:59pm $16; 1.5 Hours: Mon-Fri; 5am-4:59pm $24; 2 Hours: Mon-Fri; 5am-4:59pm $30; 12 Hours: Mon-Fri; 5am-4:59pm $36; Max: Mon-Fri; 5am-4:59pm $38; 1 Hour: Mon-Fri; 5pm-4:59am $5; 1.5 Hours: Mon-Fri; 5pm-4:59am $15; Max: Mon; 5pm-4:59am $25; Max: Tue-Fri; 5pm-4:59am $20; Early Bird: Mon-Fri; In Between 5am-9:30am / Out Between 1pm-6pm $19; Valet:  $65; ,Monthly:  $400,$16.00,https://www.parkme.com/lot/80307/ritz-carlton-boston-common-boston-ma?entry-date=2022-01-24T13:33&duration=60
406, 63 Northampton St Garage,"63 Northampton St Boston, MA 02118, US ",Max: 6am-6pm $17; Max: 6pm-6am $17; Event:  $17; ,Mon-Fri:  6am-12am,$17.00,https://www.parkme.com/lot/26198
408, The Colonnade,"120 Huntington Ave Boston, MA 02116, US ",1 Hour:  $18; 2 Hours:  $23; 3 Hours:  $30; 5 Hours:  $34; 12 Hours:  $39; Daily Max:  $48; ,Mon-Sun:  24 Hours,$18.00,https://www.parkme.com/lot/52727
409, 8 Garrison St Garage,"8 Garrison St Boston, MA 02116, US ",30 Min:  $9; 1 Hour:  $18; 1.5 Hours:  $24; 2 Hours:  $28; 2.5 Hours:  $35; Daily Max:  $40; Evening: Sun-Fri; 5pm-5am $15; Sat-Sun:  $15; ,Mon-Sun:  24 Hours,$18.00,https://www.parkme.com/lot/80447/8-garrison-st?entry-date=2022-01-24T13:33&duration=60
410, Gainsboro Garage,"10 Gainsborough St Boston, MA 02115, US ",10 Hours:  $19; 24 Hours:  $21; ,Monthly:  $125-$380,$19.00,https://www.parkme.com/lot/26169/gainsboro-garage-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
411, 501 Boylston Garage,"84 Newbury St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $19; 1.5 Hours:  $29; Daily Max:  $40; ,Monthly:  $140-$685,$19.00,https://www.parkme.com/lot/115710
412, 149 Newbury St Parking,"149 Newbury St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $20; 1.5 Hours:  $30; Daily Max:  $42; ,Mon-Sun:  24 Hours,$20.00,https://www.parkme.com/lot/15312
413, 234 Berkeley St Parking,"70 Newbury St Boston, MA 02116, US ",Each 30 Min:  $10; Daily Max:  $45; ,Mon-Sat:  7am-8pm,$20.00,https://www.parkme.com/lot/32168
414, Theatre District Parking,"98 Seaver Pl Boston, MA 02116, US ",Mon-Fri:  $20; Sat-Sun:  $30; Event:  $35; ,Mon-Fri:  6am-3am,$20.00,https://www.parkme.com/lot/75556
415, 72 E Berkeley St Parking,"72 E Berkeley St Boston, MA 02118, US ",Max: 6am-6pm $20; Evening: 6pm-6am $20; ,Mon-Thu:  6am-6pm,$20.00,https://www.parkme.com/lot/112778/72-e-berkeley-st?entry-date=2022-01-24T13:33&duration=60
418, DoubleTree By Hilton,"821 Washington St Boston, MA 02111, US ",Daily Max:  $25; 24 Hours:  $45; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/15266/doubletree-by-hilton-boston-ma?entry-date=2022-01-24T13:33&duration=60
419, Hilton Boston Back Bay,"18 Belvidere St Boston, MA 02115, US ",1 Hour:  $25; 2 Hours:  $30; 10 Hours:  $35; 24 Hours:  $50; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/32150
420, 1301 Boylston Street Parking,"1301 Boylston St Boston, MA 02215, US ",Max: 5am-5pm $25; Max: 5pm-2am $10; Event:  $60; ,Mon-Sun:  24 Hours,$25.00,https://www.parkme.com/lot/197401/1301-boylston-street-parking-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
421, The Back Bay Garage,"113 St James Ave Boston, MA 02116, US ",30 Min:  $12; 1 Hour:  $26; 2 Hours:  $38; Max: Out By 5am $43; Early Bird: In By 9am / Out Between 4pm-12am $28; 10 Min: Mon-Fri; 5pm-5am $5; 30 Min: Mon-Fri; 5pm-5am $8; Max: Mon-Fri; 5pm-5am $10; 1 Hour: Sat-Sun $12; 2 Hours: Sat-Sun $16; Max: Sat-Sun; Out By 5am $22; ,Monthly:  $140-$685,$26.00,https://www.parkme.com/lot/52875/the-back-bay-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
423, 341 Newbury St Garage,"338 Public Alley 430 Boston, MA 02115, US ",30 Min:  $5; 24 Hours:  $30; ,Monthly:  $345-$525,$30.00,https://www.parkme.com/lot/15292
424, 34 Greenwich Park Parking,"Private Alley 536 Boston, MA 02118, US ",24 Hours:  $44; ,Mon-Sun:  24 Hours,$44.00,https://www.parkme.com/lot/356127/34-greenwich-park?entry-date=2022-01-24T13:33&duration=60
425, The Eliot Hotel,"370 Commonwealth Ave Boston, MA 02215, US ",Valet:  $49; ,Mon-Sun:  24 Hours,$49.00,https://www.parkme.com/lot/187404
426, Residence Inn Boston Back Bay/Fenway,"13 Burlington Ave Boston, MA 02215, US ",Daily Max:  $55; ,Mon-Sun:  24 Hours,$55.00,https://www.parkme.com/lot/52837
428, Sheraton,"74 Belvidere St Boston, MA 02199, US ",24 Hours:  $65; ,Mon-Sun:  24 Hours,$65.00,https://www.parkme.com/lot/52717
477, 1148 Washington St Parking,"31 Fay St Boston, MA 02118, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/24195
478, Star Market,"Private Alley 931 Boston, MA 02215, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/27556
479, 25 Shawmut Ave Parking,"25 Shawmut Ave Boston, MA 02116, US ",Customers Only:  Free; ,,$0.00,https://www.parkme.com/lot/80343
480, Ming's Supermarket,"11 Traveler St Boston, MA 02118, US ",Customers Only:  Free; ,Mon-Sun:  8am-8pm,$0.00,https://www.parkme.com/lot/80412
481, 33 Kilmarnock St Parking,"1454 Boylston St Boston, MA 02215, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/80432
482, Shawmut Design and Construction,"100 Union Park St Boston, MA 02118, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/80477
483, 401-503 Parker St Parking,"401-503 Parker St Boston, MA 02115, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/80488
484, The Carl J. Shapiro Clinical Center,"98 Binney St Boston, MA 02115, US ",30 Min:  $5; 1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $18; 4 Hours:  $22; 5 Hours:  $26; 6 Hours:  $28; 24 Hours:  $40; 5 Days:  $35; 10 Days:  $54; 14 Days:  $69; 4 Hours: With Validation $12; 6 Hours: With Validation $14; 24 Hours: With Validation $18; ,Mon-Fri:  5am-11pm,$8.00,https://www.parkme.com/lot/80493
485, Harvard Vanguard Medical Associates,"1468 Miner St Boston, MA 02215, US ",30 Min:  Free; 2 Hours:  $10; 3 Hours:  $25; Daily Max:  $40; Max: With Validation $6; Valet: With Validation $8; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/80427
486, Boston Children's Hospital,"2 Blackfan Cir Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $10; 2 Hours:  $12; 3 Hours:  $14; 4 Hours:  $18; 5 Hours:  $26; 6 Hours:  $32; 8 Hours:  $40; 24 Hours:  $42; 24 Hours: With Validation $10; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/80474
487, Huntington Parking,"25 Museum Rd Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 2 Hours:  $20; 3 Hours:  $26; 6 Hours:  $29; Daily Max:  $30; Evening: In After 5:30pm $17; 30 Min: With Validation $5; 1 Hour: With Validation $8; 1.5 Hours: With Validation $12; 6 Hours: With Validation $15; Max: With Validation $16; Evening: In After 5:30pm; With Validation $13; ,Mon:  9am-6pm,$12.00,https://www.parkme.com/lot/80401
488, Fenway Parking,"69 Museum Rd Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 2 Hours:  $20; 3 Hours:  $26; 6 Hours:  $29; Daily Max:  $30; Evening: In After 5:30pm $17; 30 Min: With Validation $5; 1 Hour: With Validation $8; 1.5 Hours: With Validation $12; 6 Hours: With Validation $15; Max: With Validation $16; Evening: In After 5:30pm; With Validation $13; ,Mon:  9am-6pm,$12.00,https://www.parkme.com/lot/115686
489, 333 Longwood Garage,"93 Binney St Boston, MA 02115, US ",4 Hours:  $26; 6 Hours:  $40; 24 Hours:  $45; ,Mon-Sun:  24 Hours,$26.00,https://www.parkme.com/lot/15288
506, Brookline Place,"2 Pearl St Brookline, MA 02445, US ",15 Min:  Free; 30 Min:  $3; 1 Hour:  $6; 2 Hours:  $9; 3 Hours:  $12; 4 Hours:  $15; 5 Hours:  $18; 6 Hours:  $21; 7 Hours:  $23; 24 Hours:  $25; ,Mon-Sun:  24 Hours,$6.00,https://www.parkme.com/lot/45813
507, 375 Longwood Parking Garage,"101 Pilgrim Rd Boston, MA 02215, US ",30 Min:  $5; 1 Hour:  $7; 2 Hours:  $9; 3 Hours:  $10; 4 Hours:  $12; 5 Hours:  $18; 6 Hours:  $25; 24 Hours:  $31; Evening: In After 3:30pm / Out By 8:30am $8; ,Mon-Sun:  24 Hours,$7.00,https://www.parkme.com/lot/52921
541, 20 Calumet St Parking,"20 Calumet St Boston, MA 02120, US ",30 Min: Customers Only Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/24373
543, ServiCenter Garage,"80 Francis St Boston, MA 02115, US ",1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $11; 4 Hours:  $12; 5 Hours:  $13; 6 Hours:  $15; 7 Hours:  $36; 24 Hours:  $40; 7 Hours: With Validation $17; 24 Hours: With Validation $20; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/80486
544, Lowry Medical Office Building,"110 Francis St Boston, MA 02215, US ",30 Min:  $5; 1 Hour:  $8; 2 Hours:  $10; 3 Hours:  $18; 4 Hours:  $22; 5 Hours:  $26; 6 Hours:  $28; 24 Hours:  $40; 5 Days:  $35; 10 Days:  $54; 14 Days:  $69; 4 Hours: With Validation $12; 6 Hours: With Validation $14; 24 Hours: With Validation $18; ,Mon-Fri:  5am-6pm,$8.00,https://www.parkme.com/lot/80487
